Ano,Ranking,Jogador,Posicao,Nacionalidade,Idade,Clube,Jogos,Gols
2018,2,Ricardo Oliveira,Centre-Forward,Brazil,38,Clube Atlético Mineiro,35,13
2018,3,Diego Souza,Centre-Forward,Brazil,33,São Paulo Futebol Clube,32,12
2018,4,Pablo,Centre-Forward,Brazil,26,Atlético Paranaense,33,12
2018,5,Nicolás López,Centre-Forward,Uruguay,25,Sport Club Internacional,35,11
2018,6,Leandro Pereira,Centre-Forward,Brazil,27,Associação Chapecoense de Futebol,34,11
2018,7,Willian Bigode,Second Striker,Brazil,32,Sociedade Esportiva Palmeiras,32,10
2018,8,Yago Pikachu,Right Winger,Brazil,26,Clube de Regatas Vasco da Gama,35,10
2018,9,Everton,Left Winger,Brazil,22,Grêmio Foot-Ball Porto Alegrense,27,10
2018,10,Leandro Damião,Centre-Forward,Brazil,29,Sport Club Internacional,26,10
2018,11,Lucas Paquetá,Attacking Midfield,Brazil,21,CR Flamengo,32,10
2018,12,Pedro,Centre-Forward,Brazil,21,Fluminense Football Club,19,10
2018,13,Bruno Henrique,Central Midfield,Brazil,29,Sociedade Esportiva Palmeiras,33,9
2018,14,Róger Guedes,Second Striker,Brazil,21,Clube Atlético Mineiro,12,9
2018,15,Deyverson,Centre-Forward,Brazil,27,Sociedade Esportiva Palmeiras,26,9
2018,16,Juan Cazares,Attacking Midfield,Ecuador,26,Clube Atlético Mineiro,31,8
2018,17,Nenê,Attacking Midfield,Brazil,37,São Paulo Futebol Clube,35,8
2018,18,Rodrygo,Right Winger,Brazil,17,Santos FC,35,8
2018,19,Gilberto,Centre-Forward,Brazil,29,Esporte Clube Bahia,21,8
2018,20,Dudu,Left Winger,Brazil,26,Sociedade Esportiva Palmeiras,31,7
2018,21,Raphael Veiga,Attacking Midfield,Brazil,23,Atlético Paranaense,31,7
2018,22,Maxi López,Centre-Forward,Argentina,34,Clube de Regatas Vasco da Gama,19,7
2018,23,Neilton,Left Winger,Brazil,24,Esporte Clube Vitória,32,7
2018,24,Rodrigo Lindoso,Defensive Midfield,Brazil,29,Botafogo de Futebol e Regatas,32,7
2018,25,Rafael Moura,Centre-Forward,Brazil,35,América Futebol Clube (MG),27,7
2019,1,Gabriel Barbosa,Centre-Forward,Brazil,23,CR Flamengo,29,25
2019,2,Bruno Henrique,Centre-Forward,Brazil,28,CR Flamengo,33,21
2019,3,Eduardo Sasha,Centre-Forward,Brazil,27,Santos FC,37,14
2019,4,Gilberto,Centre-Forward,Brazil,30,Esporte Clube Bahia,32,14
2019,5,Giorgian de Arrascaeta,Attacking Midfield,Uruguay,25,CR Flamengo,23,13
2019,6,Wellington Paulista,Centre-Forward,Brazil,36,Fortaleza Esporte Clube,31,13
2019,7,Everaldo,Centre-Forward,Brazil,28,Associação Chapecoense de Futebol,33,13
2019,8,Carlos Sánchez,Attacking Midfield,Uruguay,35,Santos FC,34,12
2019,9,Thiago Galhardo,Centre-Forward,Brazil,30,Ceará Sporting Club,34,12
2019,10,Everton,Left Winger,Brazil,23,Grêmio Foot-Ball Porto Alegrense,30,11
2019,11,Bruno Henrique,Central Midfield,Brazil,30,Sociedade Esportiva Palmeiras,34,10
2019,12,Paolo Guerrero,Centre-Forward,Peru,35,Sport Club Internacional,24,10
2019,13,Dudu,Left Winger,Brazil,27,Sociedade Esportiva Palmeiras,36,9
2019,14,Yeferson Soteldo,Left Winger,Venezuela,22,Santos FC,32,9
2019,15,Michael,Left Winger,Brazil,23,Goiás EC,35,9
