Ano,Ranking,Jogador,Clube,Jogos_Disputados,Jogos_Sem_Sofrer_Gol,Porcentagem
2016,17,Fernando Prass,Sociedade Esportiva Palmeiras,16,7,43.8 %
2016,18,Aranha,Associação Atlética Ponte Preta,19,7,36.8 %
2016,19,Tiago Cardoso,Santa Cruz FC (PE),34,6,17.6 %
2016,20,Cássio,Sport Club Corinthians Paulista,21,5,23.8 %
2016,21,Fernando Miguel,Esporte Clube Vitória,31,5,16.1 %
2016,22,João Ricardo,América Futebol Clube (MG),35,5,14.3 %
2016,23,Júlio César,Fluminense Football Club,17,4,23.5 %
2016,24,Paulo Victor,CR Flamengo,5,3,60.0 %
2016,25,Bruno Grassi,Grêmio Foot-Ball Porto Alegrense,8,3,37.5 %
2017,1,Vanderlei,Santos FC,37,17,45.9 %
2017,2,Cássio,Sport Club Corinthians Paulista,35,16,45.7 %
2017,3,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,23,13,56.5 %
2017,4,Aranha,Associação Atlética Ponte Preta,37,12,32.4 %
2017,5,Fábio,Cruzeiro Esporte Clube,32,11,34.4 %
2017,6,Jandrei,Associação Chapecoense de Futebol,38,11,28.9 %
2017,7,Douglas Friedrich,Avaí FC,28,10,35.7 %
2017,8,Roberto Fernández,Botafogo de Futebol e Regatas,31,10,32.3 %
2017,9,Martín Silva,Clube de Regatas Vasco da Gama,35,10,28.6 %
2017,10,Jean,Esporte Clube Bahia,38,10,26.3 %
2017,11,Wilson,Coritiba Foot Ball Club,38,10,26.3 %
2017,12,Weverton,Club Athletico Paranaense,34,9,26.5 %
2017,13,Magrão,Sport Club do Recife,35,9,25.7 %
2017,14,Victor,Clube Atlético Mineiro,37,9,24.3 %
2017,15,Fernando Prass,Sociedade Esportiva Palmeiras,32,8,25.0 %
2017,16,Fernando Miguel,Esporte Clube Vitória,29,7,24.1 %
2017,17,Diego Alves,CR Flamengo,19,6,31.6 %
2017,18,Renan Ribeiro,São Paulo Futebol Clube,20,5,25.0 %
2017,19,Thiago Silva,CR Flamengo,11,4,36.4 %
2017,20,Sidão,São Paulo Futebol Clube,18,4,22.2 %
2017,21,Jailson,Sociedade Esportiva Palmeiras,5,3,60.0 %
2017,22,Alex Muralha,CR Flamengo,7,3,42.9 %
2017,23,Júlio César,Fluminense Football Club,22,3,13.6 %
2017,24,Caíque França,Sport Club Corinthians Paulista,3,2,66.7 %
2017,25,Santos,Club Athletico Paranaense,4,2,50.0 %
2018,1,Santos,Club Athletico Paranaense,32,15,46.9 %
2018,2,Vanderlei,Santos FC,37,14,37.8 %
2018,3,Júlio César,Fluminense Football Club,35,13,37.1 %
2018,4,Everson,Ceará Sporting Club,37,13,35.1 %
2018,5,Marcelo Grohe,Grêmio Foot-Ball Porto Alegrense,19,12,63.2 %
2018,6,Weverton,Sociedade Esportiva Palmeiras,23,12,52.2 %
2018,7,Sidão,São Paulo Futebol Clube,28,12,42.9 %
2018,8,Diego Alves,CR Flamengo,23,11,47.8 %
2018,9,Douglas Friedrich,Esporte Clube Bahia,26,11,42.3 %
2018,10,Victor,Clube Atlético Mineiro,38,11,28.9 %
2018,11,Marcelo Lomba,Sport Club Internacional,24,10,41.7 %
2018,12,Jandrei,Associação Chapecoense de Futebol,38,10,26.3 %
2018,13,Paulo Victor,Grêmio Foot-Ball Porto Alegrense,20,9,45.0 %
2018,14,Cássio,Sport Club Corinthians Paulista,27,9,33.3 %
2018,15,Fábio,Cruzeiro Esporte Clube,30,9,30.0 %
2018,16,Danilo Fernandes,Sport Club Internacional,14,8,57.1 %
2018,17,César,CR Flamengo,14,8,57.1 %
2018,18,João Ricardo,América Futebol Clube (MG),28,8,28.6 %
2018,19,Ronaldo,Esporte Clube Vitória,20,7,35.0 %
2018,20,Mailson,Sport Club do Recife,13,6,46.2 %
2018,21,Anderson,Esporte Clube Bahia,14,6,42.9 %
2018,22,Jailson,Sociedade Esportiva Palmeiras,13,5,38.5 %
2018,23,Saulo,Botafogo de Futebol e Regatas,17,5,29.4 %
2018,24,Rafael,Cruzeiro Esporte Clube,8,4,50.0 %
2018,25,Jean,São Paulo Futebol Clube,10,4,40.0 %
2019,1,Cássio,Sport Club Corinthians Paulista,32,15,46.9 %
2019,2,Tiago Volpi,São Paulo Futebol Clube,37,15,40.5 %
2019,3,Everson,Santos FC,32,14,43.8 %
2019,4,Douglas Friedrich,Esporte Clube Bahia,37,14,37.8 %
2019,5,Weverton,Sociedade Esportiva Palmeiras,31,13,41.9 %
2019,6,Diego Alves,CR Flamengo,32,13,40.6 %
2019,7,Paulo Victor,Grêmio Foot-Ball Porto Alegrense,28,12,42.9 %
2019,8,Santos,Club Athletico Paranaense,29,12,41.4 %
2019,9,Fábio,Cruzeiro Esporte Clube,36,12,33.3 %
2019,10,Fernando Miguel,Clube de Regatas Vasco da Gama,30,11,36.7 %
2019,11,Marcelo Lomba,Sport Club Internacional,34,11,32.4 %
2019,12,Tadeu,Goiás EC,37,11,29.7 %
2019,13,Roberto Fernández,Botafogo de Futebol e Regatas,30,10,33.3 %
2019,14,Jordi,Centro Sportivo Alagoano (AL),29,9,31.0 %
2019,15,Diogo Silva,Ceará Sporting Club,37,9,24.3 %
2019,16,Vladimir,Avaí FC,34,8,23.5 %
2019,17,Muriel,Fluminense Football Club,21,7,33.3 %
2019,18,Felipe Alves,Fortaleza Esporte Clube,32,7,21.9 %
2019,19,Cleiton,Clube Atlético Mineiro,25,6,24.0 %
2019,20,Tiepo,Associação Chapecoense de Futebol,25,5,20.0 %
2019,21,Marcos Felipe,Fluminense Football Club,6,3,50.0 %
2019,22,Vanderlei,Santos FC,6,3,50.0 %
2019,23,João Ricardo,Associação Chapecoense de Futebol,13,3,23.1 %
2019,24,Fernando Prass,Sociedade Esportiva Palmeiras,3,2,66.7 %
2019,25,Léo Vieira,Club Athletico Paranaense,6,2,33.3 %
2020,1,Marcelo Lomba,Sport Club Internacional,37,15,40.5 %
2020,2,Santos,Club Athletico Paranaense,33,12,36.4 %
2020,3,Cássio,Sport Club Corinthians Paulista,36,12,33.3 %
2020,4,Felipe Alves,Fortaleza Esporte Clube,37,12,32.4 %
2020,5,Weverton,Sociedade Esportiva Palmeiras,30,11,36.7 %
2020,6,Fernando Miguel,Clube de Regatas Vasco da Gama,36,11,30.6 %
2020,7,Luan Polli,Sport Club do Recife,31,10,32.3 %
2020,8,Cleiton,Red Bull Bragantino,32,10,31.3 %
2020,9,Tiago Volpi,São Paulo Futebol Clube,38,10,26.3 %
2020,10,Everson,Santos FC,28,9,32.1 %
2020,11,Douglas Friedrich,Esporte Clube Bahia,30,9,30.0 %
2020,12,Jean,Atlético Clube Goianiense,36,9,25.0 %
2020,13,Wilson,Coritiba Foot Ball Club,34,8,23.5 %
2020,14,Marcos Felipe,Fluminense Football Club,18,7,38.9 %
2020,15,Tadeu,Goiás EC,32,7,21.9 %
2020,16,Fernando Prass,Ceará Sporting Club,22,6,27.3 %
2020,17,Hugo Souza,CR Flamengo,23,6,26.1 %
2020,18,João Paulo,Santos FC,26,6,23.1 %
2020,19,Vanderlei,Grêmio Foot-Ball Porto Alegrense,27,6,22.2 %
2020,20,Paulo Victor,Grêmio Foot-Ball Porto Alegrense,10,5,50.0 %
2020,21,Rafael,Clube Atlético Mineiro,10,5,50.0 %
2020,22,Richard,Ceará Sporting Club,16,5,31.3 %
2020,23,Muriel,Fluminense Football Club,20,4,20.0 %
2020,24,Walter,Sport Club Corinthians Paulista,3,3,100.0 %
2020,25,César,CR Flamengo,5,3,60.0 %
2021,1,Fernando Miguel,Atlético Clube Goianiense,37,17,45.9 %
2021,2,Everson,Clube Atlético Mineiro,37,16,43.2 %
2021,3,Walter,Cuiabá Esporte Clube (MT),34,15,44.1 %
2021,4,João Paulo,Santos FC,33,14,42.4 %
2021,5,Mailson,Sport Club do Recife,37,14,37.8 %
2021,6,Tiago Volpi,São Paulo Futebol Clube,38,14,36.8 %
2021,7,Matheus Cavichioli,América Futebol Clube (MG),35,12,34.3 %
2021,8,Marcos Felipe,Fluminense Football Club,36,12,33.3 %
2021,9,Cleiton,Red Bull Bragantino,34,11,32.4 %
2021,10,Cássio,Sport Club Corinthians Paulista,37,11,29.7 %
2021,11,Daniel,Sport Club Internacional,23,10,43.5 %
2021,12,Diego Alves,CR Flamengo,26,10,38.5 %
2021,13,Richard,Ceará Sporting Club,22,9,40.9 %
2021,14,Danilo Fernandes,Esporte Clube Bahia,16,8,50.0 %
