Ano,Clube,Squad,Idade Media,Estrangeiros,Valor Medio,Valor Total
2016,Sport Club Corinthians Paulista,44,23.2,2,€770k,€33.90m
2016,Atlético Paranaense,67,22.5,6,€437k,€29.30m
2016,Associação Atlética Ponte Preta,65,23.9,0,€368k,€23.95m
2016,Associação Chapecoense de Futebol,63,25.4,2,€348k,€21.90m
2016,Coritiba Foot Ball Club,55,23.4,6,€366k,€20.15m
2016,Santos FC,53,22.4,8,€350k,€18.53m
2016,Esporte Clube Vitória,41,23.2,4,€438k,€17.95m
2016,Botafogo de Futebol e Regatas,52,23.6,5,€329k,€17.10m
2016,Figueirense Futebol Clube,59,23.8,2,€283k,€16.70m
2016,Santa Cruz FC (PE),59,23.8,2,€224k,€13.23m
2017,São Paulo Futebol Clube,53,23.6,7,€1.86m,€98.60m
2017,CR Flamengo,48,23.7,7,€1.91m,€91.45m
2017,Cruzeiro Esporte Clube,50,23.6,6,€1.77m,€88.40m
2017,Clube Atlético Mineiro,57,23.9,4,€1.54m,€87.93m
2017,Sociedade Esportiva Palmeiras,47,25.3,4,€1.57m,€73.95m
2017,Grêmio Foot-Ball Porto Alegrense,76,22.6,9,€878k,€66.75m
2017,Sport Club Corinthians Paulista,43,23.5,3,€1.31m,€56.20m
2017,Santos FC,47,23.5,5,€1.11m,€52.20m
2017,Sport Club do Recife,58,22.3,3,€814k,€47.20m
2017,Esporte Clube Vitória,47,24.6,6,€988k,€46.45m
2017,Clube de Regatas Vasco da Gama,47,24.7,5,€960k,€45.10m
2017,Atlético Paranaense,60,22.7,4,€750k,€44.98m
2017,Associação Chapecoense de Futebol,62,23.0,6,€637k,€39.48m
2017,Fluminense Football Club,51,22.6,2,€728k,€37.15m
2017,Coritiba Foot Ball Club,53,24.3,2,€651k,€34.53m
2017,Esporte Clube Bahia,48,23.1,4,€710k,€34.10m
2017,Botafogo de Futebol e Regatas,52,23.3,5,€585k,€30.40m
2017,Associação Atlética Ponte Preta,53,24.4,3,€537k,€28.48m
2017,Atlético Clube Goianiense,57,23.2,0,€276k,€15.73m
2017,Avaí FC,57,23.4,5,€262k,€14.93m
2018,Sociedade Esportiva Palmeiras,51,24.4,4,€1.73m,€88.28m
2018,Santos FC,52,22.9,5,€1.63m,€84.50m
2018,São Paulo Futebol Clube,57,22.9,5,€1.42m,€80.85m
2018,Clube Atlético Mineiro,61,23.2,6,€1.16m,€70.95m
2018,CR Flamengo,56,22.8,7,€1.26m,€70.68m
2018,Grêmio Foot-Ball Porto Alegrense,66,24.0,3,€1.06m,€69.65m
2018,Cruzeiro Esporte Clube,54,23.6,7,€1.23m,€66.45m
2018,Sport Club Corinthians Paulista,58,24.1,6,€1.09m,€63.40m
2018,Sport Club Internacional,53,23.9,7,€1.11m,€59.05m
2018,Esporte Clube Vitória,65,23.7,8,€753k,€48.95m
2018,Clube de Regatas Vasco da Gama,58,23.9,7,€777k,€45.08m
2018,Atlético Paranaense,66,23.4,4,€668k,€44.10m
2018,Sport Club do Recife,60,23.7,2,€669k,€40.15m
2018,Esporte Clube Bahia,52,23.2,2,€753k,€39.15m
2018,Fluminense Football Club,68,21.9,4,€482k,€32.78m
2018,Associação Chapecoense de Futebol,57,24.3,5,€569k,€32.45m
2018,Ceará Sporting Club,65,25.0,2,€496k,€32.25m
2018,América Futebol Clube (MG),59,24.3,1,€521k,€30.75m
2018,Botafogo de Futebol e Regatas,46,23.0,4,€557k,€25.60m
2018,Paraná Clube,65,23.1,3,€317k,€20.63m
2019,Sociedade Esportiva Palmeiras,55,25.1,4,€2.57m,€141.13m
2019,CR Flamengo,48,23.6,7,€2.46m,€118.15m
2019,São Paulo Futebol Clube,62,22.7,5,€1.45m,€90.13m
2019,Grêmio Foot-Ball Porto Alegrense,54,23.6,2,€1.31m,€70.75m
2019,Santos FC,55,23.3,8,€1.25m,€68.88m
2019,Sport Club Internacional,50,24.4,9,€1.23m,€61.45m
2019,Sport Club Corinthians Paulista,54,23.5,6,€1.13m,€60.80m
2019,Cruzeiro Esporte Clube,46,23.8,4,€1.12m,€51.43m
2019,Clube Atlético Mineiro,59,23.5,8,€846k,€49.90m
2019,Esporte Clube Bahia,59,23.9,1,€744k,€43.90m
2019,Clube de Regatas Vasco da Gama,63,23.5,4,€694k,€43.75m
2019,Fluminense Football Club,60,22.9,2,€664k,€39.85m
2019,Club Athletico Paranaense,68,22.3,6,€543k,€36.95m
2019,Botafogo de Futebol e Regatas,47,23.3,4,€704k,€33.10m
2019,Associação Chapecoense de Futebol,58,25.1,2,€570k,€33.05m
2019,Centro Sportivo Alagoano (AL),62,26.1,8,€463k,€28.70m
2019,Fortaleza Esporte Clube,48,25.5,4,€513k,€24.60m
2019,Goiás EC,61,23.2,2,€386k,€23.55m
2019,Ceará Sporting Club,48,25.6,1,€461k,€22.15m
2019,Avaí FC,55,24.2,4,€242k,€13.30m
2020,Sport Club Corinthians Paulista,57,23.7,8,€1.99m,€113.45m
2020,CR Flamengo,64,22.0,7,€1.64m,€105.10m
2020,Sociedade Esportiva Palmeiras,57,22.5,8,€1.54m,€88.00m
2020,Clube Atlético Mineiro,60,23.3,11,€1.17m,€70.15m
2020,Sport Club Internacional,52,23.4,10,€1.31m,€68.25m
2020,Grêmio Foot-Ball Porto Alegrense,51,24.8,4,€1.28m,€65.30m
2020,São Paulo Futebol Clube,47,22.9,6,€1.07m,€50.20m
2020,Santos FC,55,22.5,6,€738k,€40.58m
2020,Esporte Clube Bahia,68,23.1,1,€583k,€39.68m
2020,Clube de Regatas Vasco da Gama,50,23.0,5,€778k,€38.90m
2020,Coritiba Foot Ball Club,61,24.0,4,€581k,€35.45m
