Ano,Data_Referencia,Clube,Valor_Mercado_Data,Valor_Mercado_Atual
2017,2017-12-01,Clube Atlético Mineiro,€60.35m,€97.40m
2017,2017-12-01,Fluminense Football Club,€41.00m,€94.10m
2017,2017-12-01,Red Bull Bragantino,€1.63m,€90.70m
2017,2017-12-01,São Paulo Futebol Clube,€60.43m,€89.85m
2017,2017-12-01,Grêmio Foot-Ball Porto Alegrense,€66.40m,€86.45m
2017,2017-12-01,Sport Club Internacional,€49.10m,€86.00m
2017,2017-12-01,Santos FC,€51.95m,€82.80m
2017,2017-12-01,Fortaleza Esporte Clube,€3.78m,€47.18m
2017,2017-12-01,Sport Club do Recife,€36.25m,€39.50m
2017,2017-12-01,Ceará Sporting Club,€15.90m,€32.85m
2017,2017-12-01,Esporte Clube Vitória,€31.00m,€32.15m
2017,2017-12-01,Esporte Clube Juventude,€8.93m,€23.20m
2017,2017-12-01,Mirassol Futebol Clube (SP),€1.20m,€22.53m
2018,2018-12-01,Sociedade Esportiva Palmeiras,€83.08m,€212.15m
2018,2018-12-01,CR Flamengo,€76.80m,€195.90m
2018,2018-12-01,Botafogo de Futebol e Regatas,€32.20m,€138.35m
2018,2018-12-01,Cruzeiro Esporte Clube,€58.25m,€125.65m
2018,2018-12-01,Sport Club Corinthians Paulista,€54.85m,€110.45m
2018,2018-12-01,Clube de Regatas Vasco da Gama,€30.10m,€108.15m
2018,2018-12-01,Esporte Clube Bahia,€28.80m,€103.50m
2018,2018-12-01,Clube Atlético Mineiro,€40.30m,€97.40m
2018,2018-12-01,Fluminense Football Club,€32.68m,€94.10m
2018,2018-12-01,Red Bull Bragantino,€1.48m,€90.70m
2018,2018-12-01,São Paulo Futebol Clube,€51.95m,€89.85m
2018,2018-12-01,Grêmio Foot-Ball Porto Alegrense,€68.40m,€86.45m
2018,2018-12-01,Sport Club Internacional,€50.00m,€86.00m
2018,2018-12-01,Santos FC,€63.10m,€82.80m
2018,2018-12-01,Fortaleza Esporte Clube,€8.53m,€47.18m
2018,2018-12-01,Sport Club do Recife,€23.25m,€39.50m
2018,2018-12-01,Ceará Sporting Club,€17.38m,€32.85m
2018,2018-12-01,Esporte Clube Vitória,€28.73m,€32.15m
2018,2018-12-01,Esporte Clube Juventude,€8.48m,€23.20m
2018,2018-12-01,Mirassol Futebol Clube (SP),€2.10m,€22.53m
2019,2019-12-01,Sociedade Esportiva Palmeiras,€107.80m,€212.15m
2019,2019-12-01,CR Flamengo,€143.80m,€195.90m
2019,2019-12-01,Botafogo de Futebol e Regatas,€24.10m,€138.35m
2019,2019-12-01,Cruzeiro Esporte Clube,€41.20m,€125.65m
2019,2019-12-01,Sport Club Corinthians Paulista,€77.85m,€110.45m
2019,2019-12-01,Clube de Regatas Vasco da Gama,€38.80m,€108.15m
2019,2019-12-01,Esporte Clube Bahia,€23.40m,€103.50m
2019,2019-12-01,Clube Atlético Mineiro,€46.05m,€97.40m
2019,2019-12-01,Fluminense Football Club,€59.10m,€94.10m
2019,2019-12-01,Red Bull Bragantino,€9.58m,€90.70m
2019,2019-12-01,São Paulo Futebol Clube,€85.80m,€89.85m
2019,2019-12-01,Grêmio Foot-Ball Porto Alegrense,€116.60m,€86.45m
2019,2019-12-01,Sport Club Internacional,€60.65m,€86.00m
2019,2019-12-01,Santos FC,€73.45m,€82.80m
2019,2019-12-01,Fortaleza Esporte Clube,€20.40m,€47.18m
2019,2019-12-01,Sport Club do Recife,€19.53m,€39.50m
2019,2019-12-01,Ceará Sporting Club,€17.75m,€32.85m
2019,2019-12-01,Esporte Clube Vitória,€9.95m,€32.15m
2019,2019-12-01,Esporte Clube Juventude,€5.98m,€23.20m
2019,2019-12-01,Mirassol Futebol Clube (SP),€3.25m,€22.53m
2020,2020-12-01,Sociedade Esportiva Palmeiras,€96.00m,€212.15m
2020,2020-12-01,CR Flamengo,€123.55m,€195.90m
2020,2020-12-01,Botafogo de Futebol e Regatas,€26.05m,€138.35m
2020,2020-12-01,Cruzeiro Esporte Clube,€17.75m,€125.65m
2020,2020-12-01,Sport Club Corinthians Paulista,€83.10m,€110.45m
2020,2020-12-01,Clube de Regatas Vasco da Gama,€40.98m,€108.15m
2020,2020-12-01,Esporte Clube Bahia,€23.38m,€103.50m
2020,2020-12-01,Clube Atlético Mineiro,€73.00m,€97.40m
2020,2020-12-01,Fluminense Football Club,€38.70m,€94.10m
2020,2020-12-01,Red Bull Bragantino,€49.23m,€90.70m
2020,2020-12-01,São Paulo Futebol Clube,€57.90m,€89.85m
2020,2020-12-01,Grêmio Foot-Ball Porto Alegrense,€83.80m,€86.45m
2020,2020-12-01,Sport Club Internacional,€60.63m,€86.00m
2020,2020-12-01,Santos FC,€54.00m,€82.80m
2020,2020-12-01,Fortaleza Esporte Clube,€14.90m,€47.18m
2020,2020-12-01,Sport Club do Recife,€17.25m,€39.50m
2020,2020-12-01,Ceará Sporting Club,€16.10m,€32.85m
2020,2020-12-01,Esporte Clube Vitória,€8.20m,€32.15m
2020,2020-12-01,Esporte Clube Juventude,€9.75m,€23.20m
2020,2020-12-01,Mirassol Futebol Clube (SP),€2.30m,€22.53m
2021,2021-12-01,Sociedade Esportiva Palmeiras,€143.20m,€212.15m
2021,2021-12-01,CR Flamengo,€148.60m,€195.90m
2021,2021-12-01,Botafogo de Futebol e Regatas,€22.35m,€138.35m
2021,2021-12-01,Cruzeiro Esporte Clube,€12.00m,€125.65m
2021,2021-12-01,Sport Club Corinthians Paulista,€70.60m,€110.45m
2021,2021-12-01,Clube de Regatas Vasco da Gama,€28.90m,€108.15m
2021,2021-12-01,Esporte Clube Bahia,€23.73m,€103.50m
2021,2021-12-01,Clube Atlético Mineiro,€98.45m,€97.40m
2021,2021-12-01,Fluminense Football Club,€49.05m,€94.10m
2021,2021-12-01,Red Bull Bragantino,€61.68m,€90.70m
